Name,County,Started,Updated,Acres burned,% contained
Horton Fire,"Gila, AZ","December 14, 2024 5:31 PM PST","January 27, 2025 7:51 AM PST",8346,100
Palisades Fire,"Los Angeles, CA","January 7, 2025 10:30 AM PST","January 21, 2025 3:43 PM PST",23448,98
Eaton Fire,"Los Angeles, CA","January 7, 2025 6:18 PM PST","January 20, 2025 4:18 PM PST",14021,99
Sonsela Butte Fire,"San Juan, NM","January 21, 2025 12:03 PM PST","January 22, 2025 8:29 AM PST",133,Not available
Cave Creek Fire,"Clay, AL","January 25, 2025 6:43 PM PST","January 29, 2025 9:38 AM PST",200,Not available
Buttram Rx Fire,"Ozark, MO","January 28, 2025 4:14 AM PST","January 30, 2025 11:34 AM PST",2258,Not available
Oak Fire,"Santa Barbara, CA","January 1, 2025 12:08 PM PST","January 12, 2025 1:36 AM PST",42,100
Border Fire,"San Diego, CA","January 1, 2025 10:23 AM PST","January 2, 2025 2:04 PM PST",25,100
Hurst Fire,"Los Angeles, CA","January 7, 2025 2:29 PM PST","January 16, 2025 1:51 PM PST",799,100
Tyler Fire,"Riverside, CA","January 7, 2025 7:25 PM PST","January 10, 2025 3:18 AM PST",11,100
Woodley Fire,"Los Angeles, CA","January 7, 2025 10:15 PM PST","January 8, 2025 12:35 PM PST",30,100
Olivas Fire,"Ventura, CA","January 8, 2025 2:44 AM PST","January 13, 2025 6:12 AM PST",11,100
Lidia Fire,"Los Angeles, CA","January 8, 2025 6:07 AM PST","January 10, 2025 11:41 PM PST",395,100
Sunset Fire,"Los Angeles, CA","January 8, 2025 9:57 AM PST","January 9, 2025 7:58 AM PST",43,100
Kenneth Fire,"Los Angeles, Ventura, CA","January 9, 2025 7:34 AM PST","January 11, 2025 11:48 PM PST",1052,100
Archer Fire,"Los Angeles, CA","January 10, 2025 3:24 AM PST","January 11, 2025 12:41 AM PST",19,100
Auto Fire,"Ventura, CA","January 13, 2025 1:25 PM PST","January 17, 2025 4:09 PM PST",61,100
Scout Fire,"Riverside, CA","January 14, 2025 5:10 AM PST","January 16, 2025 1:56 PM PST",2,100
Little Mountain Fire,"San Bernardino, CA","January 15, 2025 6:44 AM PST","January 16, 2025 1:48 PM PST",34,100
Lilac Fire,"San Diego, CA","January 20, 2025 5:19 PM PST","January 22, 2025 4:57 PM PST",85,100
Pala Fire,"San Diego, CA","January 20, 2025 6:16 PM PST","January 21, 2025 1:49 PM PST",17,100
Friars Fire,"San Diego, CA","January 21, 2025 4:32 AM PST","January 21, 2025 1:48 PM PST",3,100
Ncfr3 4 Fire,"San Diego, CA","January 21, 2025 2:19 AM PST","January 21, 2025 10:23 AM PST",80,0
Clay Fire,"Riverside, CA","January 21, 2025 9:00 AM PST","January 24, 2025 10:54 PM PST",39,100
Center Fire,"San Diego, CA","January 22, 2025 2:02 AM PST","January 22, 2025 5:07 PM PST",7,100
Hughes Fire,"Los Angeles, CA","January 22, 2025 2:53 AM PST","January 30, 2025 2:10 PM PST",10425,100
Sepulveda Fire,"Los Angeles, CA","January 22, 2025 4:36 PM PST","January 24, 2025 3:53 PM PST",45,100
Laguna Fire,"Ventura, CA","January 23, 2025 1:41 AM PST","January 26, 2025 10:13 AM PST",83,100
Border 2 Fire,"San Diego, CA","January 23, 2025 5:58 AM PST","January 30, 2025 2:10 PM PST",6625,100
Gilman Fire,"San Diego, CA","January 23, 2025 6:42 AM PST","January 24, 2025 3:54 PM PST",2,100
Gibbel Fire,"Riverside, CA","January 23, 2025 8:40 AM PST","January 24, 2025 11:56 PM PST",15,90
Rosa Fire,"San Luis Obispo, CA","January 29, 2025 4:53 AM PST","January 30, 2025 12:30 AM PST",105,100
